DATE,CURRENCY,MIN BUY,MEDIA BUY,MAX BUY,MIN SELL,MEDIA SELL,MAX SELL
2023-12-01,CHF,19.5,19.733,20.0,20.5,20.573,20.7
2023-12-01,EUR,19.1,19.183,19.25,19.55,19.56,19.57
2023-12-01,GBP,20.7,21.54,22.17,22.67,22.723,22.8
2023-12-01,RON,3.78,3.793,3.82,3.96,3.97,3.98
2023-12-01,UAH,0.44,0.44,0.44,0.5,0.5,0.5
2023-12-01,USD,17.57,17.59,17.63,17.91,17.93,17.95
2023-12-02,CHF,19.7,19.7,19.7,20.68,20.68,20.68
2023-12-02,EUR,19.05,19.05,19.05,19.49,19.49,19.49
2023-12-02,GBP,21.7,21.7,21.7,22.7,22.7,22.7
2023-12-02,RON,3.75,3.75,3.75,3.95,3.95,3.95
2023-12-02,USD,17.6,17.6,17.6,17.95,17.95,17.95
2023-12-03,CHF,19.7,19.7,19.7,20.68,20.68,20.68
2023-12-03,EUR,19.05,19.05,19.05,19.49,19.49,19.49
2023-12-03,GBP,21.7,21.7,21.7,22.7,22.7,22.7
2023-12-03,RON,3.75,3.75,3.75,3.95,3.95,3.95
2023-12-03,USD,17.6,17.6,17.6,17.95,17.95,17.95
2023-12-04,CHF,19.6,19.85,20.05,20.6,20.65,20.75
2023-12-04,EUR,19.05,19.117,19.2,19.49,19.503,19.52
2023-12-04,GBP,20.7,21.583,22.2,22.7,22.76,22.85
2023-12-04,RON,3.75,3.777,3.8,3.95,3.96,3.98
2023-12-04,UAH,0.45,0.45,0.45,0.51,0.51,0.51
2023-12-04,USD,17.55,17.583,17.63,17.91,17.93,17.95
2023-12-05,CHF,19.5,19.8,20.0,20.5,20.573,20.7
2023-12-05,EUR,19.0,19.037,19.1,19.41,19.433,19.47
2023-12-05,GBP,20.6,21.5,22.05,22.6,22.657,22.77
2023-12-05,RON,3.75,3.77,3.78,3.93,3.947,3.96
2023-12-05,UAH,0.45,0.45,0.45,0.51,0.51,0.51
2023-12-05,USD,17.53,17.563,17.59,17.87,17.903,17.95
2023-12-06,CHF,19.5,19.76,19.93,20.43,20.497,20.56
2023-12-06,EUR,18.9,18.93,18.98,19.29,19.313,19.35
2023-12-06,GBP,20.6,21.467,22.0,22.52,22.597,22.67
2023-12-06,RON,3.74,3.76,3.77,3.92,3.933,3.95
2023-12-06,UAH,0.44,0.44,0.44,0.5,0.5,0.5
2023-12-06,USD,17.5,17.523,17.57,17.86,17.873,17.89
2023-12-07,CHF,19.4,19.783,20.05,20.4,20.457,20.57
2023-12-07,EUR,18.91,18.98,19.05,19.29,19.303,19.32
2023-12-07,GBP,20.5,21.483,22.05,22.4,22.5,22.6
2023-12-07,RON,3.75,3.763,3.77,3.92,3.927,3.93
2023-12-07,UAH,0.44,0.44,0.44,0.5,0.5,0.5
2023-12-07,USD,17.5,17.523,17.57,17.86,17.873,17.89
2023-12-08,CHF,19.4,19.8,20.05,20.4,20.5,20.65
2023-12-08,EUR,19.03,19.08,19.14,19.38,19.393,19.41
2023-12-08,GBP,20.5,21.55,22.1,22.5,22.57,22.68
2023-12-08,RON,3.76,3.78,3.81,3.92,3.93,3.94
2023-12-08,UAH,0.44,0.44,0.44,0.5,0.5,0.5
2023-12-08,USD,17.56,17.58,17.6,17.89,17.903,17.92
2023-12-09,CHF,20.05,20.05,20.05,20.77,20.77,20.77
2023-12-09,EUR,19.1,19.1,19.1,19.49,19.49,19.49
2023-12-09,GBP,22.1,22.1,22.1,22.8,22.8,22.8
2023-12-09,RON,3.8,3.8,3.8,3.95,3.95,3.95
2023-12-09,USD,17.65,17.65,17.65,18.05,18.05,18.05
2023-12-10,CHF,20.05,20.05,20.05,20.77,20.77,20.77
2023-12-10,EUR,19.1,19.1,19.1,19.49,19.49,19.49
2023-12-10,GBP,22.1,22.1,22.1,22.8,22.8,22.8
2023-12-10,RON,3.8,3.8,3.8,3.95,3.95,3.95
2023-12-10,USD,17.65,17.65,17.65,18.05,18.05,18.05
2023-12-11,CHF,19.4,19.857,20.17,20.4,20.533,20.7
2023-12-11,EUR,19.1,19.143,19.18,19.46,19.467,19.47
2023-12-11,GBP,20.5,21.617,22.2,22.5,22.623,22.75
2023-12-11,RON,3.76,3.793,3.83,3.94,3.943,3.95
2023-12-11,UAH,0.44,0.44,0.44,0.5,0.5,0.5
2023-12-11,USD,17.67,17.693,17.73,18.02,18.03,18.04
2023-12-12,CHF,19.6,19.957,20.15,20.6,20.68,20.79
2023-12-12,EUR,19.1,19.18,19.22,19.49,19.527,19.55
2023-12-12,GBP,20.7,21.733,22.3,22.7,22.767,22.85
2023-12-12,RON,3.79,3.797,3.8,3.95,3.95,3.95
2023-12-12,UAH,0.44,0.44,0.44,0.5,0.5,0.5
2023-12-12,USD,17.7,17.767,17.8,18.09,18.097,18.1
2023-12-13,CHF,19.6,19.993,20.2,20.6,20.71,20.83
2023-12-13,EUR,19.17,19.187,19.22,19.53,19.547,19.57
2023-12-13,GBP,20.7,21.7,22.25,22.7,22.757,22.87
2023-12-13,RON,3.8,3.807,3.82,3.95,3.96,3.97
2023-12-13,UAH,0.44,0.44,0.44,0.5,0.5,0.5
2023-12-13,USD,17.78,17.793,17.8,18.1,18.107,18.12
2023-12-14,CHF,19.7,20.05,20.25,20.7,20.8,20.95
2023-12-14,EUR,19.17,19.193,19.24,19.53,19.587,19.67
2023-12-14,GBP,20.7,21.733,22.25,22.7,22.783,22.9
2023-12-14,RON,3.8,3.803,3.81,3.97,3.983,3.99
2023-12-14,UAH,0.44,0.44,0.44,0.5,0.5,0.5
2023-12-14,USD,17.67,17.697,17.72,18.01,18.027,18.05
2023-12-15,CHF,19.7,19.933,20.1,20.6,20.733,20.9
2023-12-15,EUR,19.17,19.19,19.2,19.52,19.597,19.72
2023-12-15,GBP,21.0,21.8,22.2,22.8,22.883,23.05
2023-12-15,RON,3.8,3.807,3.82,3.96,3.983,4.0
2023-12-15,UAH,0.44,0.44,0.44,0.5,0.5,0.5
2023-12-15,USD,17.55,17.563,17.57,17.85,17.903,17.95
2023-12-16,CHF,19.97,19.97,19.97,20.77,20.77,20.77
2023-12-16,EUR,19.05,19.05,19.05,19.53,19.53,19.53
2023-12-16,GBP,22.75,22.75,22.75,22.85,22.85,22.85
2023-12-16,RON,3.75,3.75,3.75,3.98,3.98,3.98
2023-12-16,USD,17.5,17.5,17.5,17.89,17.89,17.89
2023-12-17,CHF,19.97,19.97,19.97,20.77,20.77,20.77
2023-12-17,EUR,19.05,19.05,19.05,19.53,19.53,19.53
2023-12-17,GBP,22.75,22.75,22.75,22.85,22.85,22.85
2023-12-17,RON,3.75,3.75,3.75,3.98,3.98,3.98
2023-12-17,USD,17.5,17.5,17.5,17.89,17.89,17.89
2023-12-18,CHF,19.7,19.9,20.0,20.52,20.64,20.7
2023-12-18,EUR,19.07,19.103,19.14,19.44,19.483,19.55
2023-12-18,GBP,21.0,21.7,22.1,22.63,22.743,22.8
2023-12-18,RON,3.77,3.787,3.8,3.95,3.963,3.98
2023-12-18,UAH,0.44,0.44,0.44,0.5,0.5,0.5
2023-12-18,USD,17.47,17.513,17.54,17.83,17.853,17.89
2023-12-19,CHF,19.6,19.807,19.95,20.48,20.587,20.68
2023-12-19,EUR,18.95,18.99,19.07,19.38,19.4,19.43
2023-12-19,GBP,21.0,21.567,21.9,22.47,22.567,22.63
2023-12-19,RON,3.74,3.767,3.78,3.93,3.943,3.96
2023-12-19,UAH,0.44,0.44,0.44,0.5,0.5,0.5
2023-12-19,USD,17.38,17.41,17.45,17.73,17.757,17.79
2023-12-20,CHF,19.6,19.817,19.95,20.45,20.603,20.76
2023-12-20,EUR,18.89,18.963,19.05,19.36,19.393,19.45
2023-12-20,GBP,21.0,21.577,21.9,22.45,22.54,22.67
2023-12-20,RON,3.77,3.77,3.77,3.92,3.943,3.96
2023-12-20,UAH,0.44,0.44,0.44,0.5,0.5,0.5
2023-12-20,USD,17.28,17.327,17.35,17.63,17.677,17.75
2023-12-21,CHF,19.5,19.85,20.05,20.5,20.62,20.76
2023-12-21,EUR,19.03,19.11,19.17,19.44,19.46,19.49
2023-12-21,GBP,21.0,21.617,21.95,22.4,22.5,22.65
2023-12-21,RON,3.75,3.783,3.81,3.94,3.943,3.95
2023-12-21,UAH,0.44,0.44,0.44,0.5,0.5,0.5
2023-12-21,USD,17.38,17.42,17.45,17.73,17.743,17.75
2023-12-22,CHF,19.7,19.9,20.0,20.65,20.717,20.8
2023-12-22,EUR,19.05,19.11,19.17,19.47,19.497,19.53
2023-12-22,GBP,21.0,21.55,21.9,22.5,22.533,22.6
2023-12-22,RON,3.76,3.783,3.8,3.94,3.953,3.96
2023-12-22,UAH,0.44,0.44,0.44,0.5,0.5,0.5
2023-12-22,USD,17.35,17.393,17.43,17.72,17.73,17.74
2023-12-23,CHF,19.9,19.9,19.9,20.95,20.95,20.95
2023-12-23,EUR,19.05,19.05,19.05,19.5,19.5,19.5
2023-12-23,GBP,21.55,21.55,21.55,22.6,22.6,22.6
2023-12-23,RON,3.78,3.78,3.78,3.96,3.96,3.96
2023-12-23,USD,17.3,17.3,17.3,17.7,17.7,17.7
2023-12-24,CHF,19.9,19.9,19.9,20.95,20.95,20.95
2023-12-24,EUR,19.05,19.05,19.05,19.5,19.5,19.5
2023-12-24,GBP,21.55,21.55,21.55,22.6,22.6,22.6
2023-12-24,RON,3.78,3.78,3.78,3.96,3.96,3.96
2023-12-24,USD,17.3,17.3,17.3,17.7,17.7,17.7
2023-12-25,CHF,19.9,19.9,19.9,20.95,20.95,20.95
2023-12-25,EUR,19.05,19.05,19.05,19.5,19.5,19.5
2023-12-25,GBP,21.55,21.55,21.55,22.6,22.6,22.6
2023-12-25,RON,3.78,3.78,3.78,3.96,3.96,3.96
2023-12-25,USD,17.3,17.3,17.3,17.7,17.7,17.7
2023-12-26,CHF,19.7,19.8,19.9,20.68,20.743,20.85
2023-12-26,EUR,19.01,19.053,19.1,19.4,19.45,19.53
2023-12-26,GBP,21.0,21.433,21.8,22.45,22.52,22.61
2023-12-26,RON,3.77,3.78,3.79,3.94,3.957,3.97
2023-12-26,UAH,0.44,0.44,0.44,0.5,0.5,0.5
2023-12-26,USD,17.3,17.317,17.35,17.65,17.68,17.72
2023-12-27,CHF,19.7,19.817,19.95,20.6,20.71,20.83
2023-12-27,EUR,18.95,19.003,19.06,19.35,19.383,19.45
2023-12-27,GBP,21.0,21.367,21.7,22.4,22.483,22.55
2023-12-27,RON,3.77,3.773,3.78,3.93,3.947,3.96
2023-12-27,UAH,0.44,0.44,0.44,0.5,0.5,0.5
2023-12-27,USD,17.2,17.207,17.22,17.55,17.593,17.65
2023-12-28,CHF,19.8,19.917,20.0,20.75,20.867,21.05
2023-12-28,EUR,18.9,18.99,19.09,19.33,19.413,19.55
2023-12-28,GBP,21.0,21.483,21.75,22.4,22.517,22.65
2023-12-28,RON,3.76,3.78,3.8,3.93,3.95,3.96
2023-12-28,UAH,0.44,0.44,0.44,0.5,0.5,0.5
2023-12-28,USD,17.1,17.153,17.2,17.48,17.52,17.59
2023-12-29,CHF,19.8,20.017,20.2,20.8,20.9,21.1
2023-12-29,EUR,19.02,19.1,19.16,19.46,19.507,19.59
2023-12-29,GBP,21.0,21.483,21.9,22.4,22.467,22.6
2023-12-29,RON,3.76,3.78,3.8,3.93,3.95,3.96
2023-12-29,UAH,0.44,0.44,0.44,0.5,0.5,0.5
2023-12-29,USD,17.18,17.227,17.25,17.56,17.593,17.65
2023-12-30,CHF,20.05,20.05,20.05,21.1,21.1,21.1
2023-12-30,EUR,19.07,19.07,19.07,19.49,19.49,19.49
2023-12-30,GBP,21.4,21.4,21.4,22.45,22.45,22.45
2023-12-30,RON,3.8,3.8,3.8,3.95,3.95,3.95
2023-12-30,USD,17.2,17.2,17.2,17.59,17.59,17.59
2023-12-31,CHF,20.05,20.05,20.05,21.1,21.1,21.1
2023-12-31,EUR,19.07,19.07,19.07,19.49,19.49,19.49
2023-12-31,GBP,21.4,21.4,21.4,22.45,22.45,22.45
2023-12-31,RON,3.8,3.8,3.8,3.95,3.95,3.95
2023-12-31,USD,17.2,17.2,17.2,17.59,17.59,17.59
